Category,Stage,Metric,Value,Unit,Description,Timestamp,Status,Notes
Metadata,Pipeline,Project Name,AI Protein Design Pipeline,N/A,Project name,2026-05-20T15:52:39.933323,Completed,
Metadata,Pipeline,Version,1.0.0,N/A,Pipeline version,2026-05-20T15:52:39.933323,Completed,
Metadata,Pipeline,Target Protein,HER2_therapeutic,N/A,Target protein name,2026-05-20T15:52:39.933323,Completed,
Metadata,Pipeline,Design Goal,therapeutic,N/A,Design objective,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_collection,total_files,5,N/A,Statistical metric from data_collection,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_collection,uniprot_files,2,N/A,Statistical metric from data_collection,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_collection,pdb_files,2,N/A,Statistical metric from data_collection,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_collection,alphafold_files,0,N/A,Statistical metric from data_collection,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_collection,related_files,1,N/A,Statistical metric from data_collection,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_collection,collection_timestamp,E:\ai_protein_design_project,N/A,Statistical metric from data_collection,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,input_sequences,405,N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,after_length_filter,12,N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,after_deduplication,11,N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,average_length,559.3636363636364,N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,average_charge,-32.18181818181818,N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,average_hydrophobicity,-0.15814798608505753,N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,data_preprocessing,tensor_dataset_shape,"torch.Size([11, 512])",N/A,Statistical metric from data_preprocessing,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,structure_prediction,total_predictions,1,N/A,Statistical metric from structure_prediction,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,structure_prediction,high_confidence,1,N/A,Statistical metric from structure_prediction,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,structure_prediction,low_confidence,0,N/A,Statistical metric from structure_prediction,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,structure_prediction,average_pLDDT,95.0,N/A,Statistical metric from structure_prediction,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,structure_prediction,average_PAE,9.071523483577755,N/A,Statistical metric from structure_prediction,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,structure_prediction,method_used,ESMFold,N/A,Statistical metric from structure_prediction,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,total_docked,1,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,good_binders,1,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,poor_binders,0,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,best_energy,-10.037477739375595,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,worst_energy,-10.037477739375595,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,average_energy,-10.037477739375595,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,energy_std,nan,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,docking_analysis,success_rate,1.0,N/A,Statistical metric from docking_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,total_analyzed,1,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,stable_count,1,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,unstable_count,0,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,stability_rate,1.0,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,avg_ddg,-0.45642008251607313,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,best_ddg,-0.45642008251607313,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,stability_analysis,worst_ddg,-0.45642008251607313,N/A,Statistical metric from stability_analysis,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,developability_assessment,total_assessed,1,N/A,Statistical metric from developability_assessment,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,developability_assessment,excellent_count,0,N/A,Statistical metric from developability_assessment,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,developability_assessment,good_count,1,N/A,Statistical metric from developability_assessment,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,developability_assessment,moderate_count,0,N/A,Statistical metric from developability_assessment,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,developability_assessment,poor_count,0,N/A,Statistical metric from developability_assessment,2026-05-20T15:52:39.933323,Completed,
Pipeline_Stage,developability_assessment,success_rate,1.0,N/A,Statistical metric from developability_assessment,2026-05-20T15:52:39.933323,Completed,
Structure_Data,structure_prediction,structure_1,N/A,PDB_file,Predicted 3D structure 1,2026-05-20T15:52:39.933323,Predicted,"Confidence: {'pLDDT': 95.0, 'PAE': 9.071523483577755}"
Docking_Data,docking_analysis,docking_1,-10.037477739375595,kcal/mol,Docking result 1,2026-05-20T15:52:39.933323,Completed,RMSD: 0.959138136866398 Å
