id,length,molecular_weight,net_charge,hydrophobicity,instability_index
tr|B4DTR1|B4DTR1_HUMAN,979,125052,-70,-0.25566905005107227,503
tr|A0A8D2KL30|A0A8D2KL30_UROPR,792,103682,-54,-0.5127525252525253,396
tr|A0A8C0QS03|A0A8C0QS03_CHEAB,490,62843,-36,-0.1516326530612246,263
tr|A0A8C5SFR2|A0A8C5SFR2_LATLA,877,112755,-58,-0.12428734321550798,452
tr|A0A493SWL2|A0A493SWL2_ANAPP,513,66322,-26,-0.190253411306043,240
tr|Q8C0E7|Q8C0E7_MOUSE,881,113230,-60,-0.30669693530079456,454
tr|B4DGQ7|B4DGQ7_HUMAN,921,118202,-42,-0.2204125950054287,470
REF_HER2_ECD,174,21126,0,0.19827586206896552,87
REF_EGFR_ECD,177,21441,0,0.18135593220338983,90
REF_BINDING_MOTIF,116,14320,0,-0.31034482758620685,60
sp|P01375|TNFA_HUMAN,233,29791,-8,-0.04721030042918452,109
