sequence_id,target_protein,target_uniprot_id,cross_reactivity_score,immune_activation_score,safety_pass,reaction_type,max_cross_reactivity,max_immune_activation,overall_safety_pass
HER2_therapeutic_GEN_0001,Human_ACE2,Q9BYF1,0.15,0.04585403965994217,False,cross_reactivity_check,0.1,0.05,False
HER2_therapeutic_GEN_0001,Human_TCR,P01834,0.15,0.048555750733851905,False,immune_response_check,0.1,0.05,False
HER2_therapeutic_GEN_0001,Human_HLA_A,P01889,0.15,0.04056452759813139,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0001,Human_HLA_B,P01890,0.15,0.035514406201903354,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0002,Human_ACE2,Q9BYF1,0.15,0.04278233103508699,False,cross_reactivity_check,0.1,0.05,False
HER2_therapeutic_GEN_0002,Human_TCR,P01834,0.15,0.04477938318794975,False,immune_response_check,0.1,0.05,False
HER2_therapeutic_GEN_0002,Human_HLA_A,P01889,0.15,0.03499210886603805,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0002,Human_HLA_B,P01890,0.15,0.032782278835591296,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0003,Human_ACE2,Q9BYF1,0.15,0.050884681404280915,False,cross_reactivity_check,0.1,0.05,False
HER2_therapeutic_GEN_0003,Human_TCR,P01834,0.15,0.05045206367537185,False,immune_response_check,0.1,0.05,False
HER2_therapeutic_GEN_0003,Human_HLA_A,P01889,0.15,0.03453013329401284,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0003,Human_HLA_B,P01890,0.15,0.03920609169329332,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0004,Human_ACE2,Q9BYF1,0.15,0.035120603713136696,False,cross_reactivity_check,0.1,0.05,False
HER2_therapeutic_GEN_0004,Human_TCR,P01834,0.15,0.04102441419921854,False,immune_response_check,0.1,0.05,False
HER2_therapeutic_GEN_0004,Human_HLA_A,P01889,0.15,0.03612938773457234,False,presentation_check,0.1,0.05,False
HER2_therapeutic_GEN_0004,Human_HLA_B,P01890,0.15,0.03818726897580972,False,presentation_check,0.1,0.05,False
TNF_therapeutic_GEN_0001,Human_ACE2,Q9BYF1,0.15,0.042319587529531306,False,cross_reactivity_check,0.1,0.05,False
TNF_therapeutic_GEN_0001,Human_TCR,P01834,0.15,0.03667310197217273,False,immune_response_check,0.1,0.05,False
TNF_therapeutic_GEN_0001,Human_HLA_A,P01889,0.15,0.03813660118571582,False,presentation_check,0.1,0.05,False
TNF_therapeutic_GEN_0001,Human_HLA_B,P01890,0.15,0.048152923861788356,False,presentation_check,0.1,0.05,False
